num_behavior,num_dissect,effect_size,power
1800,24,0.3,0.9125
2600,24,0.3,0.9242
4000,24,0.3,0.9325
200,48,0.3,0.8916
400,48,0.3,0.9585
800,48,0.3,0.9866
1200,48,0.3,0.9928
1800,48,0.3,0.9961
2600,48,0.3,0.9988
4000,48,0.3,0.9984
200,72,0.3,0.937
400,72,0.3,0.9882
800,72,0.3,0.9985
1200,72,0.3,0.9997
1800,72,0.3,1.0
2600,72,0.3,1.0
4000,72,0.3,1.0
200,96,0.3,0.9546
400,96,0.3,0.9948
800,96,0.3,0.9995
1200,96,0.3,0.9999
1800,96,0.3,1.0
2600,96,0.3,1.0
4000,96,0.3,0.9999
200,144,0.3,0.97
400,144,0.3,0.9988
800,144,0.3,1.0
1200,144,0.3,1.0
1800,144,0.3,1.0
2600,144,0.3,1.0
4000,144,0.3,1.0
200,192,0.3,0.9744
400,192,0.3,0.9998
800,192,0.3,1.0
1200,192,0.3,1.0
1800,192,0.3,1.0
2600,192,0.3,1.0
4000,192,0.3,1.0
200,12,0.4,0.7113
400,12,0.4,0.7862
800,12,0.4,0.8277
1200,12,0.4,0.843
1800,12,0.4,0.8488
2600,12,0.4,0.8565
4000,12,0.4,0.8614
200,24,0.4,0.9344
400,24,0.4,0.9735
800,24,0.4,0.9868
1200,24,0.4,0.9918
1800,24,0.4,0.9941
2600,24,0.4,0.9937
4000,24,0.4,0.9948
200,48,0.4,0.9916
400,48,0.4,0.9984
800,48,0.4,0.9998
1200,48,0.4,0.9999
1800,48,0.4,1.0
2600,48,0.4,1.0
4000,48,0.4,0.9999
200,72,0.4,0.9975
400,72,0.4,1.0
800,72,0.4,1.0
1200,72,0.4,1.0
1800,72,0.4,1.0
2600,72,0.4,1.0
4000,72,0.4,1.0
200,96,0.4,0.9993
400,96,0.4,1.0
800,96,0.4,1.0
1200,96,0.4,1.0
1800,96,0.4,1.0
2600,96,0.4,1.0
4000,96,0.4,1.0
200,144,0.4,0.9993
400,144,0.4,1.0
800,144,0.4,1.0
1200,144,0.4,1.0
1800,144,0.4,1.0
2600,144,0.4,1.0
4000,144,0.4,1.0
200,192,0.4,0.9997
400,192,0.4,0.9999
800,192,0.4,1.0
1200,192,0.4,1.0
1800,192,0.4,1.0
2600,192,0.4,1.0
4000,192,0.4,1.0
